"","lon","lat"
"1",-76.6121893,39.2903848
"2",-84.4132594,33.5726113
"4",-82.7873244,27.9094665
"6",-63.616672,-38.416097
"9",151.2092955,-33.8688197
"10",-79.0192997,35.7595731
"13",-99.9018131,31.9685988
"15",-94.1574263,36.0625795
"16",-98.4936282,29.4241219
"17",-82.9000751,32.1656221
"19",-121.8863286,37.3382082
"20",-81.0446262,24.726026
"22",-76.6358333,39.2750153
"23",-74.4056612,40.0583238
"24",-102.4107493,34.2331373
"25",4.8625133,52.3733543
"26",-104.195846,32.400126
"28",-76.6412712,39.0457549
"30",-82.9071695,39.9730713
"32",-48.011258,-15.8291861
"33",-76.6121893,39.2903848
"34",102.4077409,5.836163
"35",-0.1869644,5.6037168
"36",-115.1390302,36.166932
"37",-82.5919546,28.0432478
"40",-96.7969879,32.7766642
"41",-84.3879824,33.7489954
"42",-3.435973,55.378051
"43",-82.907123,40.4172871
"44",-121.7477304,38.5427806
"47",-115.1398296,36.1699412
"48",-122.6764816,45.5230622
"50",-86.8163773,33.2442813
"51",-122.1750657,37.4200507
"53",-96.34792,42.483421
"54",-92.0031955,34.2284312
"56",-81.5157535,27.6648274
"57",-99.8606107,28.5219292
"58",-76.4519658,40.3405166
"60",-73.9441579,40.6781784
"61",-74.4056612,40.0583238
"63",-78.216667,-7.85
"66",-97.2891568,29.0938652
"67",-86.0341463,34.6723069
"68",-74.480313,40.7982189
"69",-78.809582,35.842115
"72",-0.1277583,51.5073509
"73",-54.6201211,-20.4697105
"74",-117.9207366,33.8114063
"75",-96.373747,30.6735749
"76",-83.6874562,43.0125274
"77",-80.9620582,34.0426948
"78",-79.7624177,43.7315479
"80",-79.3831843,43.653226
"82",-71.0588801,42.3600825
"83",-0.1277583,51.5073509
"84",-99.9018131,31.9685988
"86",-34.8828969,-8.0578381
"87",-95.3698028,29.7604267
"88",-91.8318334,37.9642529
"89",-99.9018131,31.9685988
"91",-51.92528,-14.235004
"92",2.3522219,48.856614
"93",-120.5542012,43.8041334
"94",-118.1541632,34.6867846
"95",-71.1631137,42.7070354
"97",-122.3320708,47.6062095
"98",-51.92528,-14.235004
"99",-1.1743197,52.3555177
"100",-95.712891,37.09024
"101",-77.071424,39.027662
"104",-94.1265562,30.080174
"105",-97.1025077,32.4334742
"107",-76.2858726,36.8507689
"108",-81.2420473,41.1575566
"109",-3.7033725,40.4162883
"110",-122.3357088,47.6609221
"112",12.56738,41.87194
"114",-122.3255254,37.5629917
"115",-99.1712821,19.4121597
