"team_api_id","team_short_name","buildUpPlay","chanceCreation","defence","number_of_goals"
1601,"CHO",139,186,175,280
1773,"O-H",153,157,137,126
1957,"BIA",158,163,210,287
2033,"OLH",147,165,155,138
2182,"POZ",176,196,160,372
2183,"PWA",80,180,175,184
2186,"CKR",125,168,205,235
4087,"ETG",156,180,165,180
4170,"BOU",86,165,200,31
6269,"NOV",179,172,151,34
6351,"EUP",105,160,155,28
6391,"GAJ",153,179,146,37
6403,"FER",142,170,150,292
6413,"ZWO",137,165,181,204
6421,"LEI",60,165,90,55
6433,"GAE",160,132,141,74
6493,"BEL",101,175,150,128
6547,"PEN",147,146,121,29
6631,"DOR",134,176,164,24
7730,"LAU",141,164,165,99
7788,"CAM",136,159,138,119
7794,"BAS",174,156,210,165
7819,"CAE",157,165,205,220
7841,"RA",157,180,153,248
7842,"EST",174,139,150,167
7844,"GUI",131,179,177,300
7869,"COR",146,171,129,22
7878,"GRA",166,200,170,179
7943,"SAS",188,186,138,141
7955,"XAM",105,190,150,171
8019,"LEC",140,139,149,61
8020,"GOR",84,150,185,245
8021,"ZAG",133,192,210,207
8023,"POG",134,185,158,152
8024,"WID",190,185,158,122
8025,"SLA",140,165,180,318
8027,"ZAW",145,168,143,75
8028,"PIG",183,169,195,204
8030,"LGD",162,183,205,279
8031,"POB",84,150,185,88
8033,"POD",193,166,152,169
8066,"INV",169,174,139,345
8121,"ANG",159,180,140,40
8152,"STP",161,190,185,35
8165,"NUR",153,180,162,193
8177,"HBE",175,172,155,238
8178,"LEV",157,210,200,483
8191,"BUR",154,210,205,70
8194,"FDU",198,190,169,39
8197,"LEI",164,185,210,114
8203,"MEC",134,150,190,285
8226,"HOF",180,191,200,400
8234,"ING",160,151,140,33
8242,"ODR",75,155,205,50
8244,"LOD",190,185,158,50
8245,"KKI",192,169,172,237
8262,"DAR",179,174,129,38
8277,"VIT",145,173,180,423
8284,"DUF",142,158,154,127
8295,"KAR",164,205,170,30
8302,"SEV",183,206,195,478
8305,"GET",117,155,164,345
8306,"LAS",147,187,171,45
8315,"BIL",139,184,170,415
8322,"ARK",83,150,205,77
8342,"CLB",139,170,200,421
8344,"CAR",168,210,210,32
8348,"MOR",139,144,138,101
8350,"KAI",167,185,210,72
8357,"GRF",167,170,170,26
8358,"FRE",151,160,158,245
8370,"RAY",141,161,178,247
8371,"OSA",143,193,177,232
8372,"EIB",165,179,142,83
8388,"NUM",137,160,158,38
8394,"ZAR",154,166,158,159
8398,"COT",126,175,206,30
8406,"AUG",169,188,161,201
8426,"PAR",143,160,143,135
8429,"HAM",143,200,195,185
8455,"CHE",157,200,168,583
8456,"MCI",130,210,180,606
8457,"DUN",115,168,148,40
8460,"PAD",175,168,145,31
8462,"POR",148,195,150,72
8464,"NEC",150,158,146,310
8466,"SOU",129,205,210,216
8467,"JOH",162,150,142,308
8472,"SUN",154,195,165,333
8475,"WAA",132,140,114,105
8479,"HUE",148,140,151,34
8481,"NAN",146,172,210,203
8483,"BLA",183,205,210,55
8485,"ABE",184,210,200,365
8521,"BRE",161,168,210,99
8524,"ATA",146,170,165,283
