"Player","Runs","Wickets"
"A Ashish Reddy",196,19
"A Chandila",7,11
"A Chopra",75,NA
"A Flintoff",57,2
"A Kumble",49,49
"A Mishra",326,132
"A Mithun",26,8
"A Mukund",23,NA
"A Nehra",63,111
"A Nel",NA,1
"A Singh",10,31
"A Symonds",781,23
"A Uniyal",7,3
"A Zampa",1,12
"AA Bilakhia",88,NA
"AA Chavan",11,8
"AA Jhunjhunwala",218,1
"AA Kazi",NA,1
"AA Noffke",12,1
"AB Agarkar",160,33
"AB Barath",43,NA
"AB Dinda",42,80
"AB McDonald",103,14
"AB de Villiers",2231,NA
"AC Blizzard",91,NA
"AC Gilchrist",1555,1
"AC Thomas",19,16
"AC Voges",143,1
"AD Mascarenhas",79,19
"AD Mathews",571,28
"AD Nath",27,NA
"AD Russell",350,36
"AF Milne",NA,1
"AG Murtaza",14,12
"AG Paunikar",61,NA
"AJ Finch",1080,1
"AL Menaria",367,3
"AM Nayar",588,9
"AM Rahane",2274,1
"AM Salvi",NA,7
"AN Ahmed",27,15
"AN Ghosh",8,NA
"AP Dole",23,5
"AP Majumdar",77,NA
"AP Tare",260,NA
"AR Patel",323,46
"AS Rajpoot",6,4
"AS Raut",172,NA
"AS Yadav",40,NA
"AT Rayudu",1884,NA
"AUK Pathan",26,NA
"Abdur Razzak",2,NA
"Anand Rajan",NA,10
"Anirudh Singh",69,NA
"Ankit Sharma",53,12
"Anureet Singh",31,19
"Azhar Mahmood",311,31
"B Akhil",57,7
"B Chipli",256,NA
"B Geeves",NA,2
"B Kumar",156,89
"B Laughlin",9,1
"B Lee",102,30
"B Sumanth",38,NA
"BA Bhatt",7,13
"BAW Mendis",6,9
"BB McCullum",1954,NA
"BB Samantray",116,NA
"BB Sran",4,14
"BCJ Cutting",43,7
"BE Hendricks",3,11
"BJ Haddin",11,NA
"BJ Hodge",1153,18
"BJ Rohrer",146,NA
"BMAJ Mendis",27,1
"BR Dunk",36,NA
"BW Hilfenhaus",NA,23
"Bipul Sharma",99,19
"C Madan",21,NA
"C Munro",31,NA
"C Nanda",1,2
"CA Ingram",26,NA
"CA Lynn",85,NA
"CA Pujara",403,NA
"CH Gayle",2360,19
"CH Morris",178,48
"CJ Anderson",284,5
"CJ Ferguson",119,NA
"CJ Jordan",4,13
"CJ McKay",15,1
"CK Kapugedera",24,NA
"CK Langeveldt",9,13
"CL White",774,1
"CM Gautam",158,NA
"CR Brathwaite",40,9
"CRD Fernando",3,19
"D Kalyankrishna",8,2
"D Salunkhe",24,1
"D Wiese",94,17
"D du Preez",13,4
"DA Miller",1053,NA
"DA Warner",2440,NA
"DAJ Bracewell",9,3
"DB Das",267,NA
"DB Ravi Teja",325,1
"DE Bollinger",23,43
"DH Yagnik",142,NA
"DJ Bravo",1032,137
"DJ Harris",103,NA
"DJ Hooda",224,4
"DJ Hussey",1101,10
"DJ Jacobs",101,NA
"DJ Muthuswami",3,4
"DJ Thornely",54,3
"DJG Sammy",251,14
"DL Vettori",118,34
"DNT Zoysa",9,2
"DP Nannes",13,38
"DP Vijaykumar",1,4
"DPMD Jayawardene",1522,NA
"DR Martyn",26,NA
"DR Smith",1645,25
"DS Kulkarni",99,78
"DS Lehmann",19,NA
"DT Christian",299,20
"DT Patil",13,NA
"DW Steyn",161,100
"EJG Morgan",663,NA
"ER Dwivedi",15,NA
"F Behardien",13,NA
"F du Plessis",1036,NA
"FH Edwards",5,6
"FY Fazal",179,1
"G Gambhir",3028,NA
"GB Hogg",22,25
"GC Smith",691,NA
"GD McGrath",5,14
"GH Vihari",323,1
"GJ Bailey",552,NA
"GJ Maxwell",594,5
"GR Napier",16,1
"GS Sandhu",NA,1
"Gagandeep Singh",NA,3
"Gurkeerat Singh",280,5
"H Das",5,NA
"HH Gibbs",837,NA
"HH Pandya",134,4
"HM Amla",122,NA
"HV Patel",38,34
"Harbhajan Singh",574,128
"Harmeet Singh",12,31
"Harpreet Singh",26,NA
"I Malhotra",4,NA
"I Sharma",46,59
"IC Pandey",2,19
"IK Pathan",982,97
"IR Jaggi",60,NA
"Imran Tahir",23,31
"Iqbal Abdulla",79,43
"Ishan Kishan",41,NA
"J Arunkumar",24,NA
"J Botha",364,27
"J Suchith",33,10
"J Syed Mohammad",27,10
"J Theron",13,13
"J Yadav",12,4
"JA Morkel",712,96
"JC Buttler",189,NA
"JD Ryder",466,11
"JD Unadkat",8,33
"JDP Oram",110,13
"JDS Neesham",46,1
"JE Taylor",4,6
"JEC Franklin",309,9
"JH Kallis",2291,74
"JJ Bumrah",15,30
"JJ van der Wath",17,3
"JM Kemp",25,3
"JO Holder",32,8
"JP Duminy",1634,23
"JP Faulkner",346,65
"JR Hopes",314,14
"JW Hastings",NA,3
"Jaskaran Singh",11,6
"Joginder Sharma",30,13
"K Goel",239,NA
"K Santokie",NA,3
"K Upadhyay",9,NA
"KA Pollard",1380,67
"KAJ Roach",9,NA
"KB Arun Karthik",53,NA
"KC Cariappa",11,4
"KC Sangakkara",1424,NA
"KD Karthik",2092,NA
"KH Pandya",127,7
"KJ Abbott",8,2
"KK Cooper",70,36
"KK Nair",700,NA
"KL Rahul",592,NA
"KM Jadhav",490,NA
"KMDN Kulasekara",3,6
"KP Appanna",4,11
"KP Pietersen",758,9
"KS Williamson",155,NA
"KV Sharma",243,41
"KW Richardson",39,20
"Kamran Akmal",78,NA
